EAN,EAN_OnPage,ASIN,Title,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,AmazonPrice_exVAT,ReferralFee,FBAFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin
4020-01,,B0F2GDY15Z,GIFT BAG WHITE WITH BLACK ROPE HANDLE,https://www.clearance-king.co.uk/gift-bag-white-with-black-rope-handle.html,https://www.amazon.co.uk/dp/B0F2GDY15Z,,,,1.0,0.35,0.2916666666666667,9.92,8.266666666666667,1.488,2.8,1.6533333333333333,0.05833333333333333,3.9786666666666672,1.595,1.8836666666666675,6.458285714285717,5.138,0.22786290322580652
,,B00SUSUVSK,Ward Plastic Watering Can - Green - 1L,https://www.clearance-king.co.uk/9l-galv-watering-can-0-6.html,https://www.amazon.co.uk/dp/B00SUSUVSK,50.0,,Available (see Keepa data),3.0,1.54,1.2833333333333334,22.97,19.141666666666666,3.45,3.48,3.8283333333333336,0.2566666666666667,12.211666666666666,3.5716666666666668,8.139999999999999,6.342857142857142,8.97,0.4252503265128428
,,B0DDJTKVPC,Pet Touch Doggy Play Balls  - Assorted Colours - 6cm - Pack of 2,https://www.clearance-king.co.uk/pet-touch-doggy-play-balls-assorted-colours-6cm-pack-of-2.html,https://www.amazon.co.uk/dp/B0DDJTKVPC,100.0,,,,0.73,0.6083333333333334,12.99,10.825000000000001,1.9485,2.8,2.1650000000000005,0.12166666666666666,6.076500000000001,2.043333333333334,3.5331666666666672,5.807945205479452,5.9784999999999995,0.32638953040800617
,,B0BQZCNLKF,Pet Buddies Squeaky Doggy Play Toy - Shapes May Vary,https://www.clearance-king.co.uk/pet-buddies-squeaky-doggy-play-toy-shapes-may-vary.html,https://www.amazon.co.uk/dp/B0BQZCNLKF,50.0,Available (see Keepa data),,1.0,0.75,0.625,12.99,10.825000000000001,1.95,2.94,2.1650000000000005,0.12500000000000003,5.9350000000000005,2.0400000000000005,3.395,5.432,6.140000000000001,0.3136258660508083
,,B07WKKS4HB,JUMBO WALL THERMOMETER,https://www.clearance-king.co.uk/jumbo-wall-thermometer.html,https://www.amazon.co.uk/dp/B07WKKS4HB,,Available (see Keepa data),,2.0,0.79,0.6583333333333334,9.99,8.325000000000001,1.5,1.62,1.6650000000000003,0.1316666666666667,5.205,1.5333333333333337,3.1716666666666664,4.817721518987341,4.41,0.3809809809809809
5056175913015,5056175913015,B07WT5K96G,Mio Viso Cosmetics Define Brow Brush,https://www.clearance-king.co.uk/mio-viso-cosmetics-define-brow-brush.html,https://www.amazon.co.uk/dp/B07WT5K96G,,,Available (see Keepa data),1.0,0.56,0.46666666666666673,6.99,5.825,0.56,1.46,1.1650000000000003,0.09333333333333335,3.8049999999999997,1.071666666666667,2.2333333333333325,4.785714285714283,3.08,0.3834048640915592
,4715219039333,B0C9TFJYPW,PILL CUTTER & HOLDER,https://www.clearance-king.co.uk/pill-cutter-holder.html,https://www.amazon.co.uk/dp/B0C9TFJYPW,50.0,Available (see Keepa data),,1.0,0.6,0.5,8.99,7.491666666666667,0.72,2.65,1.4983333333333335,0.1,4.121666666666666,1.3983333333333334,2.2233333333333327,4.446666666666665,4.47,0.296774193548387
,0711730175257,B00TZW1SCS,Pets That Play Pull & Tug Dog Play Toy for Small & Medium Dogs - Assorted Shapes & Colours,https://www.clearance-king.co.uk/pets-that-play-pull-tug-dog-play-toy-for-small-medium-dogs-assorted-shapes-colours.html,https://www.amazon.co.uk/dp/B00TZW1SCS,50.0,Available (see Keepa data),Available (see Keepa data),2.0,0.75,0.625,11.99,9.991666666666667,1.8,3.04,1.9983333333333335,0.12500000000000003,5.1516666666666655,1.8733333333333335,2.778333333333332,4.445333333333331,6.09,0.2780650542118431
,,B0DS4L3F76,GLOW IN DARK STONE NATURAL POLISHED,https://www.clearance-king.co.uk/glow-in-dark-stone-natural-polished.html,https://www.amazon.co.uk/dp/B0DS4L3F76,,Available (see Keepa data),Available (see Keepa data),2.0,1.15,0.9583333333333333,13.99,11.658333333333333,2.1,2.72,2.331666666666667,0.19166666666666665,6.838333333333333,2.1400000000000006,4.198333333333332,4.380869565217391,6.470000000000001,0.3601143674052894
,,B0DZHBS9DX,Cat Play Toy With Feather and Bells - Colours May Vary,https://www.clearance-king.co.uk/cat-play-toy-with-feather-and-bells-colours-may-vary.html,https://www.amazon.co.uk/dp/B0DZHBS9DX,,Available (see Keepa data),,1.0,0.62,0.5166666666666667,8.59,7.158333333333333,1.29,1.83,1.4316666666666666,0.10333333333333333,4.038333333333333,1.3283333333333334,2.21,4.27741935483871,4.24,0.30873108265424914
